Date,new_coin,P_ppi,B_pi,B_px,P_cpi,B_gx,B_gi,B_sx,B_si,S_ab,S_as,S_mo,S_mf,S_mu,S_md,S_mx,S_mb,new_esi,S_es,L_ml,L_mr,new_ts,L_er,L_em,L_ur,I_m,M_p,M_s,M_i,M_sc,M_si,M_sf,M_ic,M_ii,M_if,M_ur,M_fi,H_c,H_s,P_core1,I_s,I_c,R_s,R_d,gv_totr,gv_tote,S_cb,S_cs,H_p,new_usli,new_chli,new_ksp,S_fc,P_core2,new_dmsi,new_hc,new_chci,new_usip,new_crsv,B_bx,B_bi,mv_p,mv_s,new_rfs,new_gsp,new_gmp,new_gcp,new_emp,N_gdp,N_pc,N_fi,N_ci,N_gx
2001-01-31,56.1,76.37,82.03,141.49,64.604,13319.8,12245.4,2820.5,2460.3,,,,,,,,,,,,,,56.3,21170.7,4.4,45.244,44.959,49.919,43.094,74.783,40.27,82.042,68.233,37.634,51.868,106.391,51.5,7487997,,65.399,58.4,64.8131,53.9,39,16554,8884,,,,98.7714,97.08535,617.91,,66.792,,,96.03,91.902,333.28,12644.929,12431.023,200067,191590,272.881,,,,,,,,,
2001-02-28,56.3,76.21,81.35,137.28,64.919,13104.6,12414.6,2393.9,2830.5,,,,,,,,,,,,,,56.1,21121.8,4.7,45.723,45.391,49.529,43.675,75.045,40.495,81.197,61.885,38.684,51.626,105.529,51.4,7561482,,65.526,57.7,65.4492,54.7,41.3,24878,18299,,,,98.5099,96.99342,578.1,,67.054,,,96.49,91.3034,304.71,13354.074,12732.258,221704,212073,272.627,,,,,,,,,
2001-03-31,56.5,76.39,81.86,138.53,65.488,13132.7,11544.9,2888.3,2565.7,,,,,,,,,,,,,,57.4,21259.1,4.6,45.999,45.553,49.919,43.901,75.974,40.495,80.879,58.846,39.111,53.175,106.27,51.4,7751895,,65.975,57.8,67.0973,54.6,43.1,42965,28560,,,,98.34028,96.95741,523.22,,67.512,,,97.23,91.1162,287.61,14124.891,12951.886,252702,250255,269.82,,,,,1,0.4,0.5,2.3,-0.1
2001-04-30,56.8,76.34,83.79,140.74,65.74,11601.3,11375,2606.7,2632.3,,,,,,,,,,,,,,59.4,21555.5,4.1,46.348,45.816,50.186,43.827,75.806,41.066,81.514,59.106,39.312,52.125,106.203,52,8378103,,66.167,58.5,72.5175,55.5,44.2,54719,38628,,,,98.25423,96.92353,577.36,,67.709,,,96.22,90.7891,282.09,12121.11,11212.192,253942,243393,274.41,,,,,,,,,
2001-05-31,57.2,76.27,82.67,136.01,65.677,12527.5,11440,2813.8,2855.3,,,,,,,,,,,,,,60.1,21637.1,3.9,46.739,46.174,50.718,43.829,75.974,41.404,83.828,60.686,38.948,52.038,106.621,49.7,8423696,,66.358,59.7,72.9122,57.2,45.3,65695,47665,,,,98.22661,96.85953,612.16,,67.839,,,95.87,90.3555,292.96,13306.959,11554.834,266988,272327,275.769,,,,,,,,,
2001-06-30,57.6,75.96,81.87,132.49,65.866,12911.6,11240.1,2657.4,2873.2,,,,,,,,,,,,,,60.1,21649.1,3.8,46.834,46.253,50.913,43.675,76.152,41.404,85.615,67.421,38.253,50.5,105.86,49.4,7941053,,66.424,59.5,68.7346,57.5,46.8,75395,57490,,,,98.20243,96.77188,595.13,,67.906,,,95.3,89.8784,290.87,12931.941,11718.966,266439,276785,274.474,,,,,1.5,3.8,-3.5,3.4,-5
2001-07-31,57.6,75.91,80,129.78,65.992,11710.4,11282.7,2657.5,2835.2,,,,,,,,,,,,,,60.1,21688,3.8,45.904,45.292,49.857,43.259,75.64,40.382,84.874,59.621,38.163,53.224,104.616,50.7,7888577,,66.424,59.3,68.2804,57.3,45.7,89861,66580,,,,98.15691,96.67335,541.55,,67.839,,,94.67,89.3028,285.14,11392.257,11107.564,232339,236583,273.098,,,,,,,,,
2001-08-31,57.8,75.54,79.21,127.34,66.245,11961.9,10994.4,2483.2,2745.3,,,,,,,,,,,,,,59.4,21756.9,3.7,46.973,46.431,51.179,42.699,77.426,41.122,85.826,53.989,37.729,54.696,105.343,48,8830273,,66.615,59.9,76.4313,57.7,45.1,96672,76225,,,,98.09296,96.60858,545.11,,67.971,,,94.53,89.2003,288.94,11766.192,11337.826,252170,248816,275.659,,,,,,,,,
2001-09-30,58.5,75.34,78.71,128.02,66.182,11602.1,11818.2,2481.8,2847.5,,,,,,,,,,,,,,60.1,21820.7,3.7,46.982,46.314,51.046,42.697,75.295,41.235,86.248,56.518,37.598,53.637,105.03,50,9361164,,66.744,60,81.0265,59.6,47.9,106279,90620,,,,98.05131,96.61282,479.68,,68.102,,,94.42,88.7485,313.69,12447.324,11709.659,277600,276946,268.652,,,,,1.3,1.6,-0.5,8.5,0.5
2001-10-31,59,74.98,76.45,125.93,66.182,11572.7,10729.8,2316.9,2664.8,,,,,,,,,,,,,,60.3,21847,3.6,47.268,46.687,51.713,42.5,81.26,41.01,86.659,59.613,37.47,53.045,104.434,52.6,8767757,,66.807,60.7,75.8902,57.8,47.2,124374,99827,,,,98.10202,96.70692,537.81,,68.102,,,94.42,88.5052,334.73,12086.028,11506.884,262380,260258,288.632,,,,,,,,,
